key,en,fr
CROSSHAIR_LABEL,CROSSHAIR,RÉTICULE
CROSSHAIR_OPEN_EDITOR_BUTTON,OPEN EDITOR,OUVRIR L'ÉDITEUR
CROSSHAIR_EDITOR_LABEL,CROSSHAIR EDITOR,ÉDITEUR DE RÉTICULE
CROSSHAIR_BACKGROUND_LABEL,BACKGROUND COLOR,ARRIÈRE PLAN
CROSSHAIR_COMBINE_SHAPES_LABEL,COMBINE SHAPES,COMBINER LES FORMES
CROSSHAIR_COMBINE_OUTLINES_LABEL,COMBINE OUTLINES,COMBINER LES CONTOURS

CROSSHAIR_FILL_LABEL,FILL,REMPLISSAGE
CROSSHAIR_OUTLINE_LABEL,OUTLINE,CONTOUR

CROSSHAIR_FILL_COLOR_LABEL,COLOR,COULEUR
CROSSHAIR_FILL_ANTI_ALIAS_LABEL,ANTI-ALIAS,ANTI-CRÉNELAGE
CROSSHAIR_OUTLINE_WIDTH_LABEL,WIDTH,ÉPAISSEUR

CROSSHAIR_ADD_LAYER_LABEL,ADD LAYER,AJOUTER UN CALQUE

CROSSHAIR_LAYER_TYPE_LABEL,TYPE,TYPE

CROSSHAIR_ROTATION_LABEL,ROTATION,ROTATION

CROSSHAIR_DOT_LABEL,DOT,POINT
CROSSHAIR_DOT_RADIUS_LABEL,RADIUS,RAYON

CROSSHAIR_CROSS_LABEL,CROSS,CROIX
CROSSHAIR_CROSS_LENGTH_LABEL,LENGTH,LONGUEUR
CROSSHAIR_CROSS_THICKNESS_LABEL,THICKNESS,ÉPAISSEUR
CROSSHAIR_CROSS_GAP_LABEL,GAP,CENTRE
CROSSHAIR_CROSS_ARMS_LABEL,ARMS,BRAS
CROSSHAIR_CROSS_ARMS_TOP,TOP,HAUT
CROSSHAIR_CROSS_ARMS_BOTTOM,BOTTOM,BAS
CROSSHAIR_CROSS_ARMS_LEFT,LEFT,GAUCHE
CROSSHAIR_CROSS_ARMS_RIGHT,RIGHT,DROITE

CROSSHAIR_CIRCLE_LABEL,CIRCLE,CERCLE
CROSSHAIR_CIRCLE_RADIUS_LABEL,RADIUS,RAYON
CROSSHAIR_CIRCLE_THICKNESS_LABEL,THICKNESS,ÉPAISSEUR
CROSSHAIR_CIRCLE_POINTS_LABEL,POINTS,POINTS
CROSSHAIR_CIRCLE_CUSTOM_ARC_LABEL,CUSTOM ARC,ARC CUSTOM
CROSSHAIR_CIRCLE_START_ANGLE_LABEL,START ANGLE,ANGLE DE DÉPART
CROSSHAIR_CIRCLE_END_ANGLE_LABEL,END ANGLE,ANGLE DE FIN

CROSSHAIR_SQUARE_LABEL,SQUARE,CARRÉ
CROSSHAIR_SQUARE_SIZE_LABEL,SIZE,TAILLE
CROSSHAIR_SQUARE_FILLED_LABEL,FILLED,REMPLI
CROSSHAIR_SQUARE_THICKNESS_LABEL,THICKNESS,ÉPAISSEUR

CROSSHAIR_BROWSE_LABEL,BROWSE,PARCOURIR
CROSSHAIR_PRESETS_BUTTON,PRESETS,PRÉRÉGLAGES
CROSSHAIR_SAVED_BUTTON,SAVED,SAUVEGARDÉS

CROSSHAIR_BROWSE_SAVE,SAVE,SAUVEGARDER
CROSSHAIR_BROWSE_CUSTOM,SAVED,SAUVEGARDÉS
CROSSHAIR_BROWSE_PRESETS,PRESETS,PRÉRÉGLAGES

CROSSHAIR_SAVE_CURRENT_TOOLTIP,Save crosshair,Sauvegarder réticule
CROSSHAIR_EXPORT_TOOLTIP,Export selected,Exporter sélection
CROSSHAIR_IMPORT_TOOLTIP,Import crosshair,Importer réticule

CROSSHAIR_FILE_EDIT_SAVE_PLACEHOLDER,save to ...,enregistrer sous ...
CROSSHAIR_FILE_EDIT_SEARCH_PLACEHOLDER,search ...,rechercher ...

CROSSHAIR_CONFIRM_DELETE,Confirm deletion ?,Confirmer la suppression ?
