key,en,fr
INPUTS_MOVEMENT_LABEL,MOVEMENT,MOUVEMENT

INPUTS_MOVE_FORWARD_LABEL,FORWARD,AVANCER
INPUTS_MOVE_BACKWARD_LABEL,BACKWARD,RECULER
INPUTS_MOVE_LEFT_LABEL,LEFT,GAUCHE
INPUTS_MOVE_RIGHT_LABEL,RIGHT,DROITE
INPUTS_JUMP_LABEL,JUMP,SAUTER
INPUTS_SPRINT_LABEL,SPRINT,COURIR
INPUTS_CROUCH_LABEL,CROUCH,ACCROUPIR

INPUTS_OMNI_LABEL,OMNI,OMNI

INPUTS_DASH_LABEL,DASH/SLAM/JETPACK,DASH/ECRASEMENT/PROPULSEUR
INPUTS_LURCH_LABEL,LURCH,REDIRECTION

INPUTS_COMBAT_LABEL,COMBAT,COMBAT

INPUTS_PRIMARY_LABEL,PRIMARY,PRIMAIRE
INPUTS_SECONDARY_LABEL,SECONDARY/ADS,SECONDAIRE/VISER
INPUTS_RELOAD_LABEL,RELOAD,RECHARGER
INPUTS_SWITCH_LABEL,WEAPON SWITCH,CHANGER ARME
INPUTS_HOLSTER_LABEL,HOLSTER,RANGER ARME
INPUTS_QUICK_MELEE_LABEL,QUICK MELEE,MÊLÉE RAPIDE

INPUTS_WEAPONS_LABEL,WEAPONS,ARMES

INPUTS_WEAPON_0_LABEL,WEAPON 1,ARME 1
INPUTS_WEAPON_1_LABEL,WEAPON 2,ARME 2
INPUTS_WEAPON_MELEE_LABEL,MELEE,MÊLÉE

INPUTS_INTERFACE_LABEL,INTERFACE,INTERFACE

INPUTS_STATS_LABEL,COMBAT STATISTICS,STATISTIQUES DE COMBAT
