key,en,fr

CONTROLS_GENERAL_TAB,GENERAL,GENERAL
CONTROLS_BINDINGS_TAB,KEY BINDINGS,CONFIGURATION DES TOUCHES

SENSITIVITY_LABEL,SENSITIVITY,SENSIBILITÉ

DPI_LABEL,DPI,DPI
CM_360_LABEL,CM/360°,CM/360°

SPRINT_LABEL,SPRINT,COURSE

SPRINT_MODE_LABEL,SPRINT MODE,MODE DE COURSE
SPRINT_TOGGLE_BUTTON,TOGGLE,(DES)ACTIVER
SPRINT_HOLD_BUTTON,HOLD,MAINTENIR
SPRINT_AUTO_BUTTON,AUTO,AUTO
AUTO_SPRINT_DELAY_LABEL,SHOOT GRACE DELAY,DELAI DE TIR
INPUTS_AUTO_SPRINT_QUICK_START_LABEL,QUICK START,DEMARRAGE RAPIDE
AUTO_SPRINT_DELAY_TOOLTIP,"The delay before the auto sprint restart when cancelled by shooting.","Le délai avant que la course automatique redémarre après avoir été annulée par un tir."
AUTO_SPRINT_QUICK_START_TOOLTIP,"Allows to restart the auto sprint early during grace delay.","Permet de redémarrer la course automatique avant que le délai de tir soit complété."

CROUCH_SLIDE_LABEL,CROUCH/SLIDE,S'ACCROUPIR/GLISSADE
CROUCH_SLIDE_MODE_LABEL,MODE,MODE
CROUCH_SLIDE_TOGGLE_BUTTON,TOGGLE,(DES)ACTIVER
CROUCH_SLIDE_HOLD_BUTTON,HOLD,MAINTENIR

DOUBLE_JUMP_LABEL,DOUBLE JUMP (PROPELLER),DOUBLE SAUT (PROPULSEUR)
DOUBLE_JUMP_MODE_LABEL,INPUT MODE,MODE DE DÉCLENCHEMENT
INPUTS_DOUBLE_JUMP_LABEL,DEDICATED INPUT,TOUCHE DÉDIÉE

DOUBLE_JUMP_DEDICATED_BUTTON,INPUT,TOUCHE
DOUBLE_JUMP_DEDICATED_TOOLTIP,Use a dedicated input.,Utiliser une touche dédiée.

DOUBLE_JUMP_JUMP_BUTTON,AIR JUMP,SAUT AÉRIEN
DOUBLE_JUMP_JUMP_TOOLTIP,Triggers when the player inputs a normal jump as he's high enough in air.,Se déclenche lorsque le joueur réalise un saut alors qu'il est suffisamment haut dans les airs.

DOUBLE_JUMP_DASH_BUTTON,JUMP-DASH,SAUT-DASH
DOUBLE_JUMP_DASH_TOOLTIP,Triggers when the player performs a jump mid-air right before dashing.,Se déclenche lorsque le joueur réalise un saut aérien juste avant de déclencher un dash.
