key,en,fr
APPLICATION_LABEL,APPLICATION,APPLICATION

DISPLAY_MODE_LABEL,DISPLAY MODE,MODE D'AFFICHAGE
BORDERLESS_DISPLAY_MODE,BORDERLESS,FENETRÉ PLEIN ÉCRAN
FULLSCREEN_DISPLAY_MODE,FULLSCREEN,PLEIN ÉCRAN
WINDOWED_DISPLAY_MODE,WINDOWED,FENETRÉ

RESOLUTION_LABEL,RESOLUTION,RÉSOLUTION
CUSTOM_RESOLUTION_LABEL,CUSTOM RESOLUTION,RÉSOLUTION PERSONNALISÉE

ASPECT_RATIO_LABEL,ASPECT RATIO,RAPPORT DE FORME
STRETCH_ASPECT_RATIO,STRETCH,ÉTIRER
KEEP_ASPECT_RATIO,KEEP,CONSERVER
KEEP_WIDTH_ASPECT_RATIO,KEEP WIDTH,CONSERVER LA LARGEUR
KEEP_HEIGHT_ASPECT_RATIO,KEEP HEIGHT,CONSERVER LA HAUTEUR

RENDERING_LABEL,RENDERING,RENDU

FOV_LABEL,FIELD OF VIEW,CHAMP DE VISION
VSYNC_MODE_LABEL,VSYNC,SYNCHRONISATION VERTICALE
VSYNC_DISABLED,DISABLED,DÉSACTIVÉE
VSYNC_ENABLED,ENABLED,ACTIVÉE
VSYNC_ADAPTATIVE,ADAPTATIVE,ADAPTATIF
VSYNC_MAILBOX,FAST,RAPIDE
LIMIT_FPS_LABEL,LIMIT FPS,LIMITER LES IPS
MAX_FPS_LABEL,MAX FPS,IPS MAX

SCALING_LABEL,SCALING,MISE À L'ÉCHELLE

RENDER_SCALE_MODE_LABEL,RENDER SCALING,MISE A L'ÉCHELLE DU RENDU
DISABLED_RENDER_SCALE_MODE,DISABLED,DÉSACTIVÉE
BILINEAR_RENDER_SCALE_MODE,BILINEAR,BILINÉAIRE
FSR_RENDER_SCALE_MODE,FSR 1.0,FSR 1.0
FSR_2_RENDER_SCALE_MODE,FSR 2.2,FSR 2.2
RENDER_SCALE_LABEL,RENDER SCALE,ÉCHELLE DE RENDU
FSR_SHARPNESS_LABEL,SHARPNESS,NETTETÉ

QUALITY_LABEL,QUALITY,QUALITÉ

DISABLED_QUALITY_OPTION,DISABLED,DÉSACTIVÉ
MINIMAL_QUALITY_OPTION,MINIMAL,MINIMALE
LOW_QUALITY_OPTION,LOW,BASSE
MEDIUM_QUALITY_OPTION,MEDIUM,MOYENNE
HIGH_QUALITY_OPTION,HIGH,HAUTE
ULTRA_QUALITY_OPTION,ULTRA,ULTRA
POSITIONAL_SHADOWS_QUALITY_LABEL,CAST SHADOWS QUALITY,QUALITÉ DES OMBRES PORTÉES
DIRECTIONAL_SHADOWS_QUALITY_LABEL,SUN SHADOWS QUALITY,QUALITÉ DES OMBRES DU SOLEIL
